feature,pos,neg,neutral
tech support,0,0,1
instructions,1,3,6
software,1,2,9
part,1,0,1
scan,0,0,3
office,0,0,2
pictures,0,1,0
mac,2,3,9
mode,0,0,3
mac os,1,0,2
output tray,0,0,1
capability,1,0,0
technical support,0,0,1
paper,1,2,6
firmware update,0,1,3
toner,1,1,8
price,1,0,2
function,0,1,1
scanner,0,0,1
connection,1,1,3
text,0,0,1
wifi,0,0,2
cost,0,0,1
windows xp,1,0,0
operating system,0,1,2
initial setup,0,0,1
price range,0,0,1
toner cartridges,0,0,1
money,0,1,2
size,0,0,1
install,2,1,11
snow leopard,0,0,1
machine,0,0,3
setup,3,2,7
device,0,0,6
support,1,1,1
option,0,0,3
